datum,gemeinde,zahl
2019-12-31,Flecken Adelebsen,6304
2019-12-31,Gemeinde Bad Grund (Harz),8333
2019-12-31,Stadt Bad Lauterberg im Harz,10697
2019-12-31,Stadt Bad Sachsa,7431
2019-12-31,Flecken Bovenden,13935
2019-12-31,Samtgemeinde Dransfeld,9472
2019-12-31,Stadt Duderstadt,20767
2019-12-31,Gemeinde Friedland,6958
2019-12-31,Samtgemeinde Gieboldehausen,13581
2019-12-31,Gemeinde Gleichen,8898
2019-12-31,Stadt Göttingen,121150
2019-12-31,Stadt Hann. Münden,24088
2019-12-31,Samtgemeinde Hattorf am Harz,7291
2019-12-31,Stadt Herzberg am Harz,13096
2019-12-31,Stadt Osterode am Harz,22317
2019-12-31,Samtgemeinde Radolfshausen,7252
2019-12-31,Gemeinde Rosdorf,12022
2019-12-31,Gemeinde Staufenberg,7878
2019-12-31,Gemeinde Walkenried,4347
