created,modified,gemeinde,faelle,infizierte,quelle
2020-04-19,2020-04-20,Flecken Adelebsen,5,,3256
2020-04-19,2020-04-20,Gemeinde Bad Grund (Harz),45,,3256
2020-04-19,2020-04-20,Stadt Bad Lauterberg im Harz,60,,3256
2020-04-19,2020-04-20,Flecken Bovenden,7,,3256
2020-04-19,2020-04-20,Stadt Bad Sachsa,48,,3256
2020-04-19,2020-04-20,Samtgemeinde Dransfeld,13,,3256
2020-04-19,2020-04-20,Stadt Duderstadt,22,,3256
2020-04-19,2020-04-20,Gemeinde Gleichen,6,,3256
2020-04-19,2020-04-20,Gemeinde Friedland,2,,3256
2020-04-19,2020-04-20,Samtgemeinde Gieboldehausen,17,,3256
2020-04-19,2020-04-20,Stadt Hann. Münden,14,,3256
2020-04-19,2020-04-20,Samtgemeinde Hattorf am Harz und Stadt Herzberg am Harz zusammen,209,,3256
2020-04-19,2020-04-20,Stadt Osterode am Harz,77,,3256
2020-04-19,2020-04-20,Gemeinde Rosdorf,8,,3256
2020-04-19,2020-04-20,Samtgemeinde Radolfshausen,2,,3256
2020-04-19,2020-04-20,Gemeinde Staufenberg,5,,3256
2020-04-19,2020-04-20,Gemeinde Walkenried,2,,3256
2020-04-25,2020-06-10,Flecken Adelebsen,6,,3286
2020-04-25,2020-06-10,Gemeinde Bad Grund (Harz),45,,3286
2020-04-25,2020-06-10,Stadt Bad Lauterberg im Harz,71,,3286
2020-04-25,2020-06-10,Stadt Bad Sachsa,63,,3286
2020-04-25,2020-06-10,Flecken Bovenden,7,,3286
2020-04-25,2020-06-10,Samtgemeinde Dransfeld,12,,3286
2020-04-25,2020-06-10,Stadt Duderstadt,24,,3286
2020-04-25,2020-06-10,Gemeinde Friedland,2,,3286
2020-04-25,2020-06-10,Samtgemeinde Gieboldehausen,19,,3286
2020-04-25,2020-06-10,Gemeinde Gleichen,6,,3286
2020-04-25,2020-06-10,Stadt Hann. Münden,16,,3286
2020-04-25,2020-06-10,Samtgemeinde Hattorf am Harz und Stadt Herzberg am Harz,228,,3286
2020-04-25,2020-06-10,Stadt Osterode am Harz,79,,3286
2020-04-25,2020-06-10,Samtgemeinde Radolfshausen,2,,3286
2020-04-25,2020-06-10,Gemeinde Rosdorf,8,,3286
2020-04-25,2020-06-10,Gemeinde Staufenberg,5,,3286
2020-04-25,2020-06-10,Gemeinde Walkenried,3,,3286
2020-04-27,,Flecken Adelebsen,6,,3292
2020-04-27,,Gemeinde Bad Grund (Harz),45,,3292
2020-04-27,,Stadt Bad Lauterberg im Harz,75,,3292
2020-04-27,,Stadt Bad Sachsa,70,,3292
2020-04-27,,Flecken Bovenden,7,,3292
2020-04-27,,Samtgemeinde Dransfeld,12,,3292
2020-04-27,,Stadt Duderstadt,24,,3292
2020-04-27,,Gemeinde Friedland,2,,3292
2020-04-27,,Samtgemeinde Gieboldehausen,19,,3292
2020-04-27,,Gemeinde Gleichen,6,,3292
2020-04-27,,Stadt Hann. Münden,16,,3292
2020-04-27,,Samtgemeinde Hattorf am Harz und Stadt Herzberg am Harz,229,,3292
2020-04-27,,Stadt Osterode am Harz,80,,3292
2020-04-27,,Samtgemeinde Radolfshausen,2,,3292
2020-04-27,,Gemeinde Rosdorf,8,,3292
2020-04-27,,Gemeinde Staufenberg,5,,3292
2020-04-27,,Gemeinde Walkenried,3,,3292
2020-04-29,,Flecken Adelebsen,6,,3300
2020-04-29,,Gemeinde Bad Grund (Harz),45,,3300
2020-04-29,,Stadt Bad Lauterberg im Harz,76,,3300
2020-04-29,,Stadt Bad Sachsa,74,,3300
2020-04-29,,Flecken Bovenden,7,,3300
2020-04-29,,Samtgemeinde Dransfeld,12,,3300
2020-04-29,,Stadt Duderstadt,24,,3300
2020-04-29,,Gemeinde Friedland,2,,3300
2020-04-29,,Samtgemeinde Gieboldehausen,19,,3300
2020-04-29,,Gemeinde Gleichen,6,,3300
2020-04-29,,Stadt Hann. Münden,16,,3300
2020-04-29,,Samtgemeinde Hattorf am Harz und Stadt Herzberg am Harz,235,,3300
2020-04-29,,Stadt Osterode am Harz,86,,3300
2020-04-29,,Samtgemeinde Radolfshausen,2,,3300
2020-04-29,,Gemeinde Rosdorf,8,,3300
2020-04-29,,Gemeinde Staufenberg,5,,3300
2020-04-29,,Gemeinde Walkenried,4,,3300
2020-05-01,2020-06-10,Flecken Adelebsen,6,,3307
2020-05-01,2020-06-10,Gemeinde Bad Grund (Harz),45,,3307
2020-05-01,2020-06-10,Stadt Bad Lauterberg im Harz,77,,3307
2020-05-01,2020-06-10,Stadt Bad Sachsa,74,,3307
2020-05-01,2020-06-10,Flecken Bovenden,7,,3307
2020-05-01,2020-06-10,Samtgemeinde Dransfeld,12,,3307
2020-05-01,2020-06-10,Stadt Duderstadt,24,,3307
2020-05-01,2020-06-10,Gemeinde Friedland,2,,3307
2020-05-01,2020-06-10,Samtgemeinde Gieboldehausen,19,,3307
2020-05-01,2020-06-10,Gemeinde Gleichen,6,,3307
2020-05-01,2020-06-10,Stadt Hann. Münden,16,,3307
2020-05-01,2020-06-10,Samtgemeinde Hattorf am Harz und Stadt Herzberg am Harz,245,,3307
2020-05-01,2020-06-10,Stadt Osterode am Harz,88,,3307
2020-05-01,2020-06-10,Samtgemeinde Radolfshausen,2,,3307
2020-05-01,2020-06-10,Gemeinde Rosdorf,8,,3307
2020-05-01,2020-06-10,Gemeinde Staufenberg,5,,3307
2020-05-01,2020-06-10,Gemeinde Walkenried,4,,3307
2020-05-01,2020-06-10,Flecken Adelebsen,6,,3308
2020-05-01,2020-06-10,Gemeinde Bad Grund (Harz),45,,3308
2020-05-01,2020-06-10,Stadt Bad Lauterberg im Harz,77,,3308
2020-05-01,2020-06-10,Stadt Bad Sachsa,74,,3308
2020-05-01,2020-06-10,Flecken Bovenden,7,,3308
2020-05-01,2020-06-10,Samtgemeinde Dransfeld,12,,3308
2020-05-01,2020-06-10,Stadt Duderstadt,24,,3308
